processed,Code
seroma postquirurgico,L7634
marihuana,F1210
brd,I4510
hernia de hiato. -,K449
lordosis lumbar,M4056
osas,32723
puncion folicular,0UDN3ZZ
gs b rh +,Z6720
linfadenectomia paraaortica,4052
cesarea ant,O34219
imc &gt;40) -,Z6841
hemorroides internas,K648
cardiologia parto,O9942
laparoscopica,5421
fascitis plantar,M722
historia polipos colon,V1272
embolizacion arterias uterinas,04LE3ZT
vomito,78703
angio tc toracico,BW24Y0Z
sindrome sjogren,M3500
tromboembolismo pulmonar,I2699
hierro,3E033GC
hipertension arterial,I10
r51.9,R519
desgaroo 1 grado,O700
pectus excavatum corregido,V1368
38+3semanas,Z3A38
fibromialgia part,O9989
gsrh: a positivo,Z6710
insuficiencia mitral reumatica,I051
protesis rodilla,V4365
: o+,Z6740
amniocentesis,10903ZU
sgb +,64891
enf parto,O99892
fumadora,3051
liquen,L280
fisura palatina,74900
enterococo,B955
utero polimiomatoso,D259
calcul renal,N200
quiste tiroideos parto,O99284
portadora diu,Z975
cesareas anteriores,O34211
nefrectomia parcial derecha laparoscopica,0TB04ZZ
quimioterapia,Z9221
sindrome de noonan,Q8719
deficiencia vitamina d,E559
hemangiomas hepaticos,D1803
probable virasis,B349
hombro doloroso,M25519
desgarro,66441
pseudomona aeruginosa,B965
infertilidad,N979
v10.83,Z85828
dislipemia,E785
acne papulopustuloso,7061
rotura prematura membranas anteparto,65813
parada cardiorrespiratoria sars-cov-2: negativo,Z20822
fibrilacion auricular,42731
sindrome ansioso,F419
caigudes repetides,R296
40+2 semanas,Z3A40
sangrado post- conizacion,N99820
insulinoterapia,9917
37+0 semanas,Z3A37
esterilizacion tubarica,V2651
absceso tubo-ovarico,N7093
encefalomalacia,G9389
v133,Z872
liquido ascitico,5491
antibiotica,9921
hellp,O1423
hipertension arterial + erc 4,5854
urticaria cronica,L508
obesidad morbida part,64911
vomits,78703
ecografia d'abdomen,8876
parada cardiorrespiratoria sars cov-2: negativa,Z20822
cancer in situ mama,2330
artropatia,M129
legrado evacuador obstetrico,10D17ZZ
laceracion periuretral,0TQD7ZZ
granulomas hepaticos,K753
e faecalis,B952
retraso de crecimiento intrauterino,O365930
bmn,E042
cistocele,N8110
cistitis aguda,5950
alergia al nolotil,V146
bacteriemia,R7881
dilatacion laringe,3198
imc 43,Z6841
historia cancer cervix,V1041
hernia umbilical,5531
intolerancia hidratos de carbono parto,K9049
absceso renal,N151
malformacion arteriovenosa cerebral,Q282
iii plano oida,O631
eritema nodoso parto,L52
miomas uterinos,D259
alergia a penicilinas,Z880
policaries,52100
poliposis nasal,4710
hepatitis c part,B182
torsion testicular,N4400
insuficiencia renal aguda,N179
neoplasia,80003
tabaco parto,G43909
ansiso depresivo,F418
prurito,6989
gonalgia derecha,M25561
fumadora part,O99334
displasia renal,75315
nodulos tiroideos,2410
radiografia senos,B902ZZZ
dolor cronica,33829
alergia a contrastes yodados,V1508
celiaca part,O9962
v13.09,Z87448
hernia de hiato parto,O9962
ciatalgia,M5430
endometriosis del ovario,N801
gsrh a positivo,Z6710
empeoramiento de la funcion renal,N179
parto de nalgas,7254
plastia anterior,0JQC0ZZ
tomografia axial computarizada abdominal con contraste,BW201ZZ
secuestro esplenico,28952
liquen escleroatrofico,L900
tumorectomia mama izquierda,0HBU0ZZ
cuerpo exttrano en faringe,9330
fractura pertrocanterea cadera izquierda,S72102A
queilitis xerotica,K130
canalizacion de via periferica,05HY33Z
radiografia de torax,BW03ZZZ
sangrado postoperatorio,99811
cateterismo,3721
obesidad anteparto,27800
drenaje mama izquierda,0H9U0ZZ
cefalohematoma recien nacido,P120
von willebrand parto,D680
biopsia peritoneal lap,5424
estrenimiento cronico,K5900
rpbf,O368930
histerectomia total,0UTC0ZZ
historia de tifus,Z8619
41 .3 semanas,Z3A41
fibrinogeno,30233T1
cistoadenofibroma seroso,90140
hpv part,B977
dental,5259
659.61,O09523
hipertension arterial insuficiencia renal cronica,40390
elongacion cervical,N884
absceso tuboovarico,6142
psoriasis part,E669
carcinoma ductal infiltrante de mama izquierda,C50912
insuficienciarespiratoria aguda,51881
fgeg,O3663X0
part,10E0XZZ
ex enolismo,F1021
"hernia umbilical,",K429
mastectomia subcutanea bilateral,0HBV0ZZ
sindrome de intestino irritable,K589
hipoxico cerebral,G931
gastroparesia,5363
sindrome depresivo,F32A
cistectomia radical laparoscopica,0VT04ZZ
p.mirabilis,B964
biopsias peritoneales lap,5424
40.3,O480
dolor abdominal,R109
insuficiencia venosa (periferica,45981
trombopenia,2875
sindrome ansioso-depresivo,F418
246.9,E079
neoplasia maligna bilateral de ovarios,C563
hipotirodismo parto,O99284
vulvectomia radical,0UTM0ZZ
plastia anterior,0JQC0ZZ
colecistectomia abierta,5122
fistula rectovaginal,N823
hipercalcemia,E8352
necrosis avascular de cadera izquierda,M87052
antibioticos,9921
ex-bebedor,F1011
litiasis renal izquierda,N200
hipertensio arterial insuficiencia renal cronica,40390
urocultivos,N390
inmunoglobulina anti D,3E0234Z
pico febril,R509
dinamica uterina sin modificaciones,O622
reflujo gastoesofagico,K219
portador de gastrostomia,V441
quimioterapico,9925
sufrimiento fetal parto,65631
41+2 sg,Z3A41
2 cchh,9904
hernia inguinal derecha,55090
radiografia abdominal,BW00ZZZ
adenoma,81400
carcinosarcoma,89803
hiper-pth secundaria,E211
anemia postparto,64822
hernia inguinal bilateral,55092
reflux gastro esofagic,53081
trastorno esquizoafectivo,F259
von willebrand parto,O9912
al·lergia a l'ou,V1503
bronquiolitis aguda vrs,J210
mastectomia dreta,Z9011
metrorragia postmenopausica,6271
: ex-fumadora,Z87891
utero septo parto,Q5120
infeccion herida qx,T8140XA
mujer,V270
artosis hombro izq,M19012
insuficiencia mitral reumatica,I051
ptosis bilateral,H02403
accident,E9289
linfadenectomia,4051
reflujo vesicoureteral bilateral,N1370
dg,O24424
anemia parto,Z370
protesis cadera izquierda,Z96642
bronquiolitis aguda no especificada,J219
mastectomia bilateral,8542
41,Z3A41
desgarro perineal iº..,O700
trombofilia part,D6859
masa suprarrenal izquierda,E278
hemoglobinopatia parto,O9902
cetoacidosis diabetica,25010
hiperprolactinemia part,E221
microprolactinoma,D352
talasemia minor,D563
leiomiomas uterinos,88900
madre cancer de mama,Z803
diabetes mellitus tipo 2,25000
cervicitis cronica,N72
trombocitopenia parto,O9912
alteracion de la funcion renal,N179
pesario,V528
adenocarcinoma endometrioide,83803
fumadora part,E669
radiografia torax y abdomen,BW03ZZZ
histerectomia total,6849
transtorno depresivo,F329
utero miomatoso parto,D259
cordon corto,O693XX0
pelvis congelada,N9489
utero septo part,Q5120
ptc izquierda,Z96642
cesrea,10D00Z1
ansiosodepresiva,F341
recambio de jj derecho,Z466
40 +1semanas,Z3A40
miomectomia histeroscopica,0UB98ZZ
mc bride,0MQT0ZZ
fistula piel,L988
riesgo perdida bienestar fetal,O368930
insuficiencia cardiaca de predominio derecho,I50810
legrado obstetrico evacuador,10D17ZZ
salpingectomia bilateral,0UT70ZZ
atonia uterina,O721
seroma cesarea,O902
transfusion de plaquetas,9905
consanguinitat,V197
pp,64421
urticaria cronica part,L508
litiasis renal part,O26833
alergia al nolotil,Z886
trastorno depresivo-adaptativo,3090
sobreinfeccionrespiratoria,5198
neoplasia supraglotis,1611
hid recidivada,K4091
biopsia selectiva ganglio centinela,4011
fumadora parto,Z370
poliartralgias,M2550
neuropatia sensitivo-motora,G600
sindrome febril,R509
fumadora 1t,O99331
embolizacion arterias uterinas,04LF3ZU
miopia,3671
r45.4,R454
r56.9,R569
laringotraquebronquitis,J209
soplo cardiaco,R011
cancer vesical,C679
esclerosis multiple part,Z372
protesis de mamas,Z9882
dl,2724
obesidad morbida,27801
colesteatoma,38530
carcinoma de mama derecha,C50911
diabetes gestacional insulinodependiente,O24424
adenoma pleomorfo de parotida derecha,D110
deficit proteina s part,O9912
mioma uteri,2189
endometriosi cervix,6170
gs: ab+,Z6730
migranas part,G43909
anti d,3E0234Z
hierro endovenoso,9929
esclerosis multiple part,G35
hemorragia pp,O721
carcinoma urotelial vesical,81203
cistectomia radical lap,0VT04ZZ
insuficiencia renal cronica 4,N184
radiografia abdomen,BW00ZZZ
39.6 semanas,Z3A39
dobutamina,3E063XZ
grupo sanguineo o rh positivo,Z6740
anemia ferropenica part,O3413
hipertension arterial parto,O1002
anemia ferropenica,D509
sutura desgarro i,0HQ9XZZ
fractura supracondilea de humero derecho,S42411A
histerectomia abdomial radical,0UT90ZZ
tumorectomia mamaria bilateral,0HBV0ZZ
prostatectomia radical laparoscopica,07TC4ZZ
alergias: penicilina,Z880
re negativo,Z171
broncoaspiracion,5070
cateter doble j bilateral,0T9880Z
: 40 + 3 sg,Z3A40
polipo fosa nasal,4710
adenitis,2893
mioma,2189
caida casual en su domicilio,Y92009
fumadora 3t,F17210
adherencias part,O9962
hipertension arterial erc grado 5,I120
ecocardiografia nen,B24DZZZ
ta elevadas,R030
laceraciones de i grado,O700
alergia al polvo,V1509
estado anastomosis,Z980
apendicectomia abierta,4709
desgarros de i grado,7569
estrabismo,3789
hernia discal parto,M5126
sindrome depresivo part,O99344
crohn,K5090
b pos,Z6720
infeccion tracto urinario 3t,O23593
derrame pleural bilateral,5119
36 sem,Z3A36
gastritis,53550
adenoamigdalectomia,0CTPXZZ
alergia a amoxicilina,V141
hipotiroidisme part,E039
recambio de cateter ureteral,Z466
hernia inguinal izquierda recidivada,55091
forceps episio,721
anexectomia bilateral,0UT70ZZ
amenorrea: 40 +,Z3A40
intratecal,0392
sindrome confusional,F05
levofloxacino,9921
: o negativo,Z6741
enfermerdad diverticular,K5730
liquido meconial,O770
escoliosis dorso-lumbar,M4185
analgesicos,3E033NZ
miomas,D259
fallot corregido,V1365
historia de taquicardia,Z8679
recien nacido,Z370
bufeta hiperactiva,N3281
tuberculosis pulmonar h,V1201
metrorragia postmenopausica,N950
enterobacter cloacae,B9689
desgarro grado 2,0KQM0ZZ
grupo b rh positivo,Z6720
"gsrh: o +,",Z6740
obesitat part,O99214
nodulo tiroideo,E041
iot,9604
cancer mama bilateral,C50911
diveticulosis,56210
varices,I8390
dislpemia,2724
h66.001,H66001
accident,X58XXXA
nefrostomia,Z936
infeccion tracto urinario 3t,O09523
poliquistosis renal,Q613
legrado por aspiracion,10D17ZZ
dacriocistocele,H04439
deterioro cognitivo,F09
obesidad parto,E669
protesis de cadera derecha,Z96641
radioterapia,9229
fumador 2t,O99332
gs ab +,Z6730
gonartrosis dcha,M1711
histerectomia total laparoscopica,0UT94ZZ
virus hepatitis C parto,O9842
ooforectomia,V4577
fiebre,R509
enf madre recien nacido,P0089
herpes genital parto,O9832
escoliosis parto,64871
nalgas gemelo,65261
part,7359
intolerancia a la lactosa,E739
cirrosis hepatica por virus hepatitis C,K7469
obesidad parto,O99892
disfagia orofaringea,R1312
hidratacion intravenosa,3E0337Z
ansiedad part,E039
insuficiencia cardiaca congestiva,I509
hernia epigastrica,K439
mastectomia bilateral,0HTV0ZZ
cannabis parto,F1210
vomits no especificats,R1110
antidiabeticos orales,Z7984
hipernatremia recien nacido,P741
infeccion tracto urinario part,O23593
histerectomia abdominal total lap,0UT94ZZ
episodio paroxistico,R569
serumterapia,9918
laceracion periuretral,0TQD7ZZ
bag de implantes peritoneales,0DBW3ZX
mastitis puerperal,O9122
hipertrigliceridemia parto,E781
e.m,G35
taquicardias ventriculares,I472
cardiopatia isquemica,4149
desgarro labio,0UQMXZZ
hipercolesterolemia,E780
radiografia pelvis,BR0CZZZ
microstomia,74484
leiomioma subseroso,D252
dolor pelvico cronico,6259
eco pulmonar,BB4BZZZ
gsrh: o negativo,Z6741
hipercolesterolemia leve,E7800
gsrh: o +,Z6740
cesarea,10D00Z1
sindrome men 2a,25802
anexectomia,V4577
app,64403
deformidad pie izquierdo,M216X2
anemia normocitica hipocroma,D509
ssf,3E0337Z
dolor toracico,R079
hipotirodismo part,O99284
polipo del cuerpo uterino,N840
hd,Z992
aneurisma aorta abdominal,I714
i27.83,I2783
colgajo piel cuero cabelludo,0HX0XZZ
historia de litiasis renal,Z87442
radiografia de abdomen,8819
z906,Z906
aumento de psa,R9720
viriasi,07999
sesiones de hemodialisis,5A1D70Z
alergia al huevo,Z91012
hirsutismo,7041
diabetes,E119
trombo vena poplitea izquierda,I82432
k56.690,K56690
grupo sanguineo: a+.,Z6710
cataracta oi,08RK3JZ
hernia incisional,55321
linfadenectomia axilar derecha,07T50ZZ
eao,I350
peg,0DH63UZ
extraccion manual placenta,10D17Z9
enfermedad de berger,N028
ansietat,F419
hallux valgus 1,0MQS3ZZ
escoliosis,M419
amniorrexis artifical,10907ZC
ferroterapia,9929
depresion parto,O99343
adhesiolisis intestinal,5680
colocacion de port-a-cath,8607
fractura subtrocanterica de femur derecho,S7221XA
doble anexectomia,0UT20ZZ
bronquitis aguda rhinovirus,J206
anexectomia izquierda,0UT60ZZ
cerclaje cervical,0UVC7DZ
rubeola no inmune,O9852
alergia gramineas,Z91048
nebulitzacions,3E0F7GC
cesareas anteriores,O34219
estafilococo,B958
alergia a contrastes yodados,Z91041
neumotorax traumatico,8600
enfermedad pulmonar obstructiva cronica tipo enfisema,J439
tit,0392
enemas,3E1H78Z
osea,1985
alergia a metales,Z91048
klebsiella oxytoca,B9689
reseccion pulmonar,Z902
campo futbol,E8494
epilepsia,34590
eco-transfontanelar,B040ZZZ
taquicardia paroxistica,I479
leiomioma,D259
alergia penicilina,V140
neoplasia de lengua,C029
o : negativo,Z6741
apnea del son no especificada,G4730
convulsions febrils,R5600
historia cancer mama,V103
salpinguectomia bilateral,0UT70ZZ
rge part,K219
617.1,6171
: ex fumadora,Z87891
trastorno histrionico de personalidad,F604
ecotv,BU4CZZZ
grupo sanguineo: 0 rh positivo,Z6740
pti parto,D693
gastroenteritis aguda,5589
tc arterias pulmonares,B32T1ZZ
piel atopica,L209
metastasis suprarrenal izquierda,C7972
aboroto diferido,O021
trastorno adaptativo parto,O99344
neuritis optica,H469
grupo sanguineo: o rh +,Z6740
fractura pertrocanterea de femur derecho,S72101A
disfuncion diastolica,I5030
sindrome ansioso,F419
hemorragia puerperal,O721
hipertrofia utero,6212
hipertension arterial,I10
obesidad morbida parto,E6601
sop,E282
ecografia abd,BW40ZZZ
hiperlipemia part,O99284
protusion discal lumbar,72210
linfadenectomia pelvica,4053
a positivo,Z6710
obseidad anteparto,27800
hipertension arterial insuficiencia renal cronica,40390
tc abdominopelvico,BW21ZZZ
desgarro 3 grado,0DQQXZZ
im,I340
obesitat morbida part,E6601
use,0FJB8ZZ
dislipemia,2724
tumorectomia mama derecha,0HBT0ZZ
fibrosis quistica pulmonar,27702
bronquitis aguda causada pel virus respiratori sincicial,J205
color: tenido +++,O770
pet-tac,CW3NYZZ
torsion de ovario,6205
doble anexectomia lap,0UT74ZZ
anemia renal,D631
": a, rh: negativo",Z6711
neumonia,486
polipo endometrio,N840
miomectomia,6829
angiopatia amiloide,I680
sindrome down,7580
e. coli,04149
27+3 semanas,Z3A27
antibioterapia iv,3E03329
reseccion ileocecal,0DTC0ZZ
gs o rh: posit,Z6740
flegmo amigdala,475
espondilosis,M4300
poliposis colonica,2113
prostatectomia,Z9079
fumadora parto,D6861
adenocarcinoma de prostata historia,Z8546
miopia part,O9989
grupo sanguineo: o+,Z6740
alergica a: beta lactamicos,Z881
32,Z3A32
enf parto,O9989
pelado de mer,08BF3ZZ
amigdalectomia,0CTPXZZ
alteracion del lenguaje,78459
bsgc inguinal bilateral,07BJ0ZX
hipertrofia benigna de prostata,60090
condropatia rotuliana rodilla izquierda,M2242
dialisis,Z992
neoplasia renal derecha,C641
unas encarnadas,L600
cardiopatia isquemica,I259
bc-ba,V9103
chagas part,B571
antiviricos,3E03329
fiebre parto,O752
apendicitis,5409
hiperplasia simple sin atipia,N8501
aborto diferit,O021
crisis asmatica,J45901
n00.0,N000
quimioterapia,9925
hemoderivados,30233N1
hipoparatiroidismo parto,E890
hernia hiatal,5533
imc 32,V8532
anemizacion aguda,D62
alergias:metamizol,V146
colon irritable part,K589
tumorectomia mi,0HBU0ZZ
shock septico 1,0389
exfumador,Z87891
fad mamarios bilaterales,D241
9 semanas,Z3A09
36+3 semanas,Z3A36
fibromialgia parto,O99891
penicilina,V140
biopsia ileon,4514
peg,0DH63UZ
hemangioma hepatico,22804
hiperparatiroidismo,E213
38 semanas,Z3A38
: iii plano oida,O631
diabetes part,O2412
histerectomia laparoscopia,0UT94ZZ
absceso de mama,6110
16 sem,Z3A16
hepatitis b part,B181
panhipopituitarismo,E230
rt,Z923
sars-cov2 negativos,Z20822
embolizacion arteria uterina,6825
rctg patologico,65971
febriculas,R509
cistadenoma seroso,84410
sutura ileon,0DQB0ZZ
resonancia magnetica cerebral,B030ZZZ
deshidratacion recien nacido,P741
hipertension arterial insuficiencia renal cronica 4 insuficiencia cardiaca congestiva,I509
alivio expulsivo,O631
mioma intramural part,D251
sindrome ansioso/depresivo parto,O99344
rinitis alergica,4779
oma,3829
trasplante de progenitores hematopoyeticos,V4282
cervicalgia,7231
lloc,Y929
macrosoma parto,O3663X0
anticoagulada,Z7901
sintrom,Z7901
hipertension arterial insuficiencia renal cronica,I129
alergica frutos secos,V1505
hipertension arterial insuficiencia renal cronica 2,N182
historia de fumadora,Z87891
doble anexectomia,6561
gemelar bicorial-biamniotico,O30043
pulsioximetria,4A1ZXQZ
sarna,B86
corioamnionitis anteparto,65843
siadh,2536
h25.13,H2513
desprendimiento prematuro de placenta,64121
fibroadenoma mama izquierda,D242
migranas,G43909
diastasis de rectos,M6208
endometrioma de ovario derecho,N801
ileo paralitico qx,99749
enfermedad de membrana hialina,P220
litiasis biliar,57420
imc 30,Z6830
mioma,D259
gestante de 40+,O480
anexectomia bilateral via laparoscopica,6563
hipertensio insuficiencia renal cronica,40390
amigdalectomia,282
extraccion manual de placenta,10D17Z9
histerectomia total vaginal,0UTC7ZZ
hipotoroidismo,E039
retinopatia hipertensiva leve,H35039
legrado evacuador,10D17ZZ
cesarea anterior,O34211
preeclampsia lleu,64241
estancamiento ponderal,R6251
asma alergico,J45909
histerectomia laparoscopia,0UT94ZZ
gcp,O480
mtx ganglio pelvico,1966
traumatismo craneoencefalico,8500
enfermedad de alzheimer,G309
traqueostomia,V440
incontinencia urinaria mixta,N3946
pseudomona,B965
carcinoma adenoide quistico,82003
"re-,",V860
k.pneumoniae,B961
28 semanas,Z3A28
grupo sanguineo b positivo,Z6720
fx,V1551
fracaso renal agudo,N179
antiagregado,Z7902
sindrome de apnea obstructiva,G4733
pielonefritis del injerto renal,T8613
mastectomia der,0HTT0ZZ
azitromicina,9921
vitiligo parto,L80
bronquiolitis,46619
podalica,10D07Z8
anemia ferropenica part,O9902
biopsia ciego,0DBH8ZX
pna 2t,N10
anastomosis colorrectal,0D1M0ZP
obeso,E669
retraso del neurodesarrollo,F88
disfagia,R1310
retraso de crecimineto intrauterino,O365930
absceso hepatico,K750
extraccio manual placenta,10D17Z9
pielonefritis,N10
exfumadora,Z87891
trastorno depresivo,F329
k. pneumoniae,0413
submaxilectomia izquierda,0CBH0ZZ
hemitiroidectomia parto,64811
obesidad 3t,O99213
consumo de alcohol,F1011
esquizofrenia parto,O99344
amoxicilina,3E03329
circulares prietas,O691XX0
rge,53081
poliquistosis hepatorrenal,Q613
enema,3E1H78Z
alergia a la penicilina,V140
anexectomia bilateral laparoscopica,0UT74ZZ
mtx hepatico,1977
salbutamol,9394
colestasis gravidica parto,64671
sondaje nasogastrico,9607
<font><font>alimentaria intoxicacion</font></font>,0059
lesion cerebral sugestiva de m1,1983
hemoderivats,9904
crisis convulsivas,R569
metrorragia puerperal,O722
a.e.,66221
rotura espontanea de membranas 1,O4202
gammaglobulina anti d,3E0234Z
anti d,3E0234Z
edema glotis,4786
rectorragias,5693
doble anexectomia,0UT20ZZ
sindrome nager,Q754
adenoma hipofisario,D352
lumboartrosis,M47816
incontinencia urinaria esfuerzos,N393
mastectomia radical modificada,8543
padres consanguineos,Z843
hiperlipidemia,2724
tc craneal,B020ZZZ
inmunoglobulina anti D,3E0234Z
cirugia bypass,Y832
sars-cov-2 negativo,Z20822
sgb positivo,O99824
miopia parto,O9989
ecografia renovesical,BT4JZZZ
absces de la glandula de bartholin,N751
asma part,Z6831
bronquitis cronica,J42
traumatismo,E9289
sag: positivo,O99824
corioamnionitis 2t,O411220
angina,I209
insuficiencia respiratoria,J9690
22 sem,Z3A22
fractura humero proximal,81200
agresion,E9689
cancer endometrio historia,Z8542
paralisis facial derecha,3510
nefrectomia radical derecha,0TB60ZZ
tbr,P011
hpp,O721
gemelar bicorial-biamniotica,O30043
carcinoma infiltrante,85003
trastorn depressiu,311
prolapso genital,N819
exfumador,Z87891
part,O80
macrosoma,65661
ecografia ginecologica,BU4CZZZ
tc craneal,8703
d'alzehimer,3310
anexectomia bilateral laparoscopica,0UT24ZZ
neoplasia mama,1749
circular,O6989X0
bmn parto,O99284
grado i,0HQ9XZZ
polimialgia reumatica,M353
771.89,P398
ruptura prematura de membranes 1,O4202
diverticulosis colonica,K5730
dislipemia parto,O99284
mola hidatiforme,630
apnea de la prematuridad,P284
osteomielitis maxilar,5264
secuestro pulmonar,Q332
artrodesi lumbar,Z981
candidiasis vaginal 2t,O98812
desgarro de i grado,0HQ9XZZ
alergia a colirio,Z888
historia de cancer de vejiga,Z8551
tumoracion,80001
rosacea,6953
rinitis alergica parto,J309
d071,D071
mastopatia fibroquistica,N6019
nefrectomia derecha,0TT00ZZ
sgb parto,O99824
iii plano oiip,O631
caidas frecuentes,V1588
obesidad 3t,E669
leucocituria,7917
fractura de huesos propios nasales,S022XXA
rtu vejiga,0TBB8ZZ
hematies,9904
sindrome apnea hipopnea sueno,G4739
aborto habitual,64631
obesidad part,E669
otitis externa dreta,38010
microcefalia,7421
hipercolesterolemia parto,E7800
absceso periamigdalino,475
acxfa,I4891
reseccion rectal,Z9049
endometriosis intestino,6175
carcinoma seroso mtx,84416
historia tromboflebitis,Z8672
portador de peg,Z931
sindrome de noonan,75989
cesarea anterior,O3421
linfadenectomia pelvica bilateral,4053
ansiedad part,F419
catarata ao,H269
secuelas de poliomelitis,B91
ooforectomia izquierda,0UT10ZZ
herniorrafia inguinal izquierda,5300
cia,7455
anterolistesis l4-l5,M4316
dislipemia,2724
mastectomia,V4571
intolerancia hidratos de carbono parto,G35
distocia de hombros,O660
antibioterapia,3E03329
rh: o +,Z6740
ileo paralitico,5601
anemia,D649
estres,F439
z94.2,Z942
quiste glandula de bartholino,N750
alergia a sulfamidas,Z882
bronconeumonia,J180
utero doble parto,Q5120
hiperlipidemia,E785
linfadenectomia paraaortica,07TD0ZZ
cataracta ull esquerre,08RK3JZ
deficit proteina s parto,O9912
imc: 33,Z6833
depressio,311
limfoma t anaplasic,20060
eco renal,8875
migrana parto,D6861
oxigenoterapia,3E0F7SF
biopsia mama derecha,0HBT0ZX
ileo paralitico qx,99749
talasemia delta-beta,D562
h60.311,H60311
ecografia obs,8878
fiebre de origen desconocido,78060
hemoperitoneo qx,99811
cefazolina,3E03329
hipertrofia ccii,J343
alergia perros,Z91048
neoplasia de vejiga,1889
dermolipectomia abdominal,0WQF0ZZ
linfadenectomia inguinal,4054
protesica aortica,Z952
historia prematuro,V137
31 + 2 semanas,Z3A31
historia accidente isquemico transitorio,Z8673
: 0 positiu,Z6740
ceftazidima,9921
antibioticoterapia,3E03329
ecografia,8875
- radiografia torax y abdomen,BW00ZZZ
salpingectomia bilateral,0UT70ZZ
alergia niquel,Z91048
adenoma suprarrenal,2270
historia cancer colon,Z85038
dedo en resorte,M6530
hemoroide int,K648
enterovirus,07989
silicosis,J628
poliposis colonica,2113
vejiga neurogena,N319
mastectomia,V4571
miopia magna,H4420
hipertrofia utero,6212
quiste ovario anteparto,65443
leucocitosis part,O9912
legrado obstetrico evacuador,10D17ZZ
sag: positivo,O99824
ea aines,T39395A
cateter doble j izquierdo,0T9780Z
coxartrosis bilateral,M160
colico nefritico,N23
vomits persistents,5362
historia trombosis venosa profunda,V1251
deterioro de funcion renal,N179
fibrobroncoscopia,0BJ08ZZ
obesidad parto,Z6832
fumadora parto,F17210
hipercolesterolemia,E7800
ptr derecha,0SRC0J9
sindrome depresivo parto,O99344
resonancia magnetica cerebral,B030ZZZ
esteatosis hepatica parto,K760
osteonecrosis mandibular,52689
anexectomia bilateral profilactica,Z4002
bacteriemia,7907
cesarea previa,O34211
deficit b12,2662
fiebre qx,R5082
puncion dural accidental,34931
cirrosis hepatica,K7469
extraccion manual de la placenta,10D17Z9
fumadora part,O99344
endometriosis part,O99892
anti- d,O360130
tabac,F17210
enterococo,B952
alergia acaros,Z91038
meralgia parestesica,G5710
rubeola no inmune,O9852
epigastralgi,78906
fibroadenoma mama izq,D242
tumorectomia de mama izquierda,0HBU0ZZ
anemia puerperal 2,D62
tc abdomen,BW20ZZZ
folicular ovari,6200
peritonectomia,544
transplante de cornea oi,Z947
varices esofagicas secundaria,I8510
port-a-cath,02HV33Z
doppler renal,BT43ZZZ
diureticos,3E0337Z
derrame pericardico,I313
futbol,Y9366
ea qt,T451X5A
gastritis cronica atrofica,K2940
diabetes mellitus,E119
o2,3E0F7SF
madden derecha,07T50ZZ
timpanoplastia,194
cesarea previa,O34219
espondiloartropatia degenerativa,72190
celulitis mama,N610
preclampsia grave puerperal,O1415
alergia penicilina,Z880
dolor lumbar,M545
higado graso,K760
aflojamiento ptc derecha,T84030A
granulomas hepaticos,K753
hernia inguinal izquierda,K4090
vdvp,Z982
angio tomografia axial computarizada torax,BW24Y0Z
fibrilacion auricular paroxistica,I480
varon,Z370
historia polipos colonicos,Z86010
cerviz corto 2t,O26872
duplicidad renal,Q638
colon irritable,K589
amniorexis,7309
convulsiones febriles atipicas,78032
litiasis biliar,57420
656.61,O3663X0
dislipemia,E785
biopsia de gangli sentinella,4011
sufrimiento fetal agudo,65631
hipertension insuficiencia renal cronica,I129
perineorrafia,0WQNXZZ
trastorno adaptativo mixto,F4323
color: tenido ++,O770
alergia penicilina,V140
cistocele,61801
brdh,I4510
polipectomia histeroscopica,0UB98ZZ
tumorectomia mama izquierda,0HBU0ZZ
protesis de rodilla bilateral,Z96653
drenaje mama derecha,0H9T0ZZ
radiografia de torax,BW03ZZZ
sindrome de mallory weiss,5307
rabdomiolisi,M6282
trastorno depresivo/ansiedad,3004
vaginitis part,N760
s.haemolyticus,B957
o negativo,Z6741
protesis total de cadera derecha,Z96641
ansiedad,F419
pop,N814
cannabis,F1210
grupo sanguineo: b positivo,Z6720
ataxia,7813
historia de trombosis,Z86718
historia de sars-cov2,Z8616
576.8,K838
ecografia urinaria,BT4JZZZ
sindrome mielodisplasico,D469
rinitis alergica parto,D252
41 +3,O480
hipotiroidismo part,F1411
alergia tiomersal,Z883
la tenido,O770
cervix corto anteparto,64973
uretrocele,N810
tc torax,BW24ZZZ
disnea,R0600
gasometria,4A13XR1
cateter venoso central,02HV33Z
hiperglucemia,79029
sutura vaginal,0UQGXZZ
alergia al marisco,Z91013
limfadenectomia axilar,4051
tabaco part,O99314
adenocarcinoma de endocervix,C530
alergia aspirina,Z886
j69.0,J690
hiperreactivitat bronquial,51919
ansioso part,64841
anemia ferropenica,2809
quimioterapic,9925
catarro,460
histerectomia total:,0UT90ZZ
taquicardia sinusal,R000
e.coli blee,Z1610
imc: 35,Z6835
"ecografia de cadera derecha,",BQ40ZZZ
bursectomia hombro derecho,0MB14ZZ
varices part,O2203
via periferica,Y848
hipertensio arterial,4019
fiebre qx,R5082
ile por t21,65513
edema maxilar,7823
cancer endocervix,1800
condilomas part,A630
obesidad part,E669
hipoplasico cae,74402
analgesia endovenosa,9929
contusion glutea,S300XXA
croup,J050
nbz,3E0F7GC
ab,6561
v15.05,Z91018
gestracion cronologicamente prolongada,O480
