Code,D_P,processed_Description,processed_Literal
0UB98ZX,P,"escision de utero, diagnostico, abordaje orificio natural o artificial, endoscopico",biopsia endometrio
0UB98ZX,P,"escision de utero, diagnostico, abordaje orificio natural o artificial, endoscopico",biopsia endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",miomectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrio
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",histeroscopia quirurgica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",histeroscopia quirurgica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipos endometriales
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",miomectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipos endometriales
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrio
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",histeroscopia quirurgica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",miomectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",histeroscopica quirurgica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipos endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipos endometriales
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrio
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",miomectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipectomia histeroscopica
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipo endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",polipectomia endometrial
0UB98ZZ,P,"escision de utero, abordaje orificio natural o artificial, endoscopico",miomectomia histeroscopica
0UBC8ZX,P,"escision de cervix, diagnostico, abordaje orificio natural o artificial, endoscopico",biopsia cervix
0UBC8ZZ,P,"escision de cervix, abordaje orificio natural o artificial, endoscopico",conizacion
0UBC8ZZ,P,"escision de cervix, abordaje orificio natural o artificial, endoscopico",conizacion cervix
0UBM0ZZ,P,"escision de vulva, abordaje abierto",vulvectomia parcial
0UBMXZZ,P,"escision de vulva, abordaje externo",excision vulva
0UDB7ZZ,P,"extraccion de endometrio, abordaje orificio natural o artificial",legrado
0UDB7ZZ,P,"extraccion de endometrio, abordaje orificio natural o artificial",legrado endocervical
0UDB7ZZ,P,"extraccion de endometrio, abordaje orificio natural o artificial",legrado
0UDB7ZZ,P,"extraccion de endometrio, abordaje orificio natural o artificial",legrado
0UDB8ZZ,P,"extraccion de endometrio, abordaje orificio natural o artificial, endoscopico",legrado
0UDN3ZZ,P,"extraccion de ovulos, abordaje percutaneo",puncion folicular
0UDN3ZZ,P,"extraccion de ovulos, abordaje percutaneo",puncion folicuar
0UDN3ZZ,P,"extraccion de ovulos, abordaje percutaneo",puncion folicular
0UDN3ZZ,P,"extraccion de ovulos, abordaje percutaneo",puncion folicular
0UDN3ZZ,P,"extraccion de ovulos, abordaje percutaneo",puncion folicular
0UH98HZ,P,"insercion en utero, de dispositivo anticonceptivo, abordaje orificio natural o artificial, endoscopico",diu
0UHG7GZ,P,"insercion en vagina, de dispositivo intraluminal, pesario, abordaje orificio natural o artificial",pesario
0UJD7ZZ,P,"inspeccion de utero y cervix, abordaje orificio natural o artificial",alumbramiento: dirigido con revision de cavidad
0UJD7ZZ,P,"inspeccion de utero y cervix, abordaje orificio natural o artificial",revision de canal del parto
0UJD7ZZ,P,"inspeccion de utero y cervix, abordaje orificio natural o artificial",revision manual de cavidad uterina
0UJD7ZZ,P,"inspeccion de utero y cervix, abordaje orificio natural o artificial",revision manual de cavidad
0UJD8ZZ,P,"inspeccion de utero y cervix, abordaje orificio natural o artificial, endoscopico",histeroscopia
0UJD8ZZ,P,"inspeccion de utero y cervix, abordaje orificio natural o artificial, endoscopico",histeroscopia diagnostica
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura tubarica
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura tubarica
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura tubarica: bilateral
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ltb
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ltb
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura tubarica bilateral
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura tubarica bilateral
0UL70ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje abierto",ligadura
0UL74ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",ltb lap
0UL74ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",ltb laparoscopica
0UL74ZZ,P,"oclusion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",ltb lap
0UPD7DZ,P,"retirada en utero y cervix, de dispositivo intraluminal, abordaje orificio natural o artificial",se extrae cerclaje cervical
0UPD7HZ,P,"retirada en utero y cervix, de dispositivo anticonceptivo, abordaje orificio natural o artificial",retirada diu
0UPD7HZ,P,"retirada en utero y cervix, de dispositivo anticonceptivo, abordaje orificio natural o artificial",retirada diu
0UPD8HZ,P,"retirada en utero y cervix, de dispositivo anticonceptivo, abordaje orificio natural o artificial, endoscopico",retirada de diu
0UPD8JZ,P,"retirada en utero y cervix, de sustituto sintetico, abordaje orificio natural o artificial, endoscopico",retirar cerclaje cervical
0UQC7ZZ,P,"reparacion de cervix, abordaje orificio natural o artificial",desgarro cervix
0UQC7ZZ,P,"reparacion de cervix, abordaje orificio natural o artificial",desgarro cervix
0UQC7ZZ,P,"reparacion de cervix, abordaje orificio natural o artificial",desgarro cervix
0UQF7ZZ,P,"reparacion de fondo de saco, abordaje orificio natural o artificial",mc call
0UQF7ZZ,P,"reparacion de fondo de saco, abordaje orificio natural o artificial",mc call
0UQGXZZ,P,"reparacion de vagina, abordaje externo",sutura vagina
0UQGXZZ,P,"reparacion de vagina, abordaje externo",desgarro vagina
0UQGXZZ,P,"reparacion de vagina, abordaje externo",sutura desgarro vaginal
0UQGXZZ,P,"reparacion de vagina, abordaje externo",desgarro vagina
0UQGXZZ,P,"reparacion de vagina, abordaje externo",sutura vaginal
0UQGXZZ,P,"reparacion de vagina, abordaje externo",desgarro vagina
0UQGXZZ,P,"reparacion de vagina, abordaje externo",sutura vaginal
0UQGXZZ,P,"reparacion de vagina, abordaje externo",desgarro vaginal
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",desgarro clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",sutura clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",desgarro clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",sutura clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",desgarro clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",desgarro clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",sutura clitoris
0UQJXZZ,P,"reparacion de clitoris, abordaje externo",desgaro clitoris
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarros vulvar
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro labio
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceracion en labio
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro vulva
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro labial
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceraciones en labio
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceracion en labios
0UQMXZZ,P,"reparacion de vulva, abordaje externo","desgarro vulvar,"
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceracion en labios
0UQMXZZ,P,"reparacion de vulva, abordaje externo",lasceraciones en labios
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceracion en labios
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceracion en labio
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro labios
0UQMXZZ,P,"reparacion de vulva, abordaje externo",degarro vulvar
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro labio
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro vulvar
0UQMXZZ,P,"reparacion de vulva, abordaje externo",laceracion en labio
0UQMXZZ,P,"reparacion de vulva, abordaje externo",desgarro vulva
0USG0ZZ,P,"reposicion de vagina, abordaje abierto",richter
0UT00ZZ,P,"reseccion de ovario, derecho, abordaje abierto",anexectomia derecha
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha lap
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha laparoscopica
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",ooforectomia derecha laparoscopica
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha laparoscopia
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha lap
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha laparoscopia
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha lap
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha laparoscopica
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha laparoscopica
0UT04ZZ,P,"reseccion de ovario, derecho, abordaje endoscopico percutaneo",anexectomia derecha lap
0UT10ZZ,P,"reseccion de ovario, izquierdo, abordaje abierto",anexectomia izquierda
0UT10ZZ,P,"reseccion de ovario, izquierdo, abordaje abierto",ooforectomia izquierda
0UT10ZZ,P,"reseccion de ovario, izquierdo, abordaje abierto",anexectomia izquierda
0UT10ZZ,P,"reseccion de ovario, izquierdo, abordaje abierto",anexectomia izquierda
0UT10ZZ,P,"reseccion de ovario, izquierdo, abordaje abierto",ooforectomia izquierda
0UT10ZZ,P,"reseccion de ovario, izquierdo, abordaje abierto",ooforectomia izquierda
0UT14ZZ,P,"reseccion de ovario, izquierdo, abordaje endoscopico percutaneo",anexectomia izquierda laparoscopia
0UT14ZZ,P,"reseccion de ovario, izquierdo, abordaje endoscopico percutaneo",anexectomia izquierda por laparoscopia
0UT14ZZ,P,"reseccion de ovario, izquierdo, abordaje endoscopico percutaneo",ooforectomia izquierda laparoscopica
0UT14ZZ,P,"reseccion de ovario, izquierdo, abordaje endoscopico percutaneo",anexectomia izquierda por laparoscopia
0UT14ZZ,P,"reseccion de ovario, izquierdo, abordaje endoscopico percutaneo",anexectomia izquierda laparoscopica
0UT14ZZ,P,"reseccion de ovario, izquierdo, abordaje endoscopico percutaneo",ooforectomia izquierda laparoscopica.
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",doble anexectomia
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",da
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",anexectomia bilateral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",salpingooforectomia bilateral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",anexectomia bilateral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",histerectomia abdomial radical
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",anexectomia bilteral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",anexectomia bilateral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",doble anexectomia
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",anexectomia bilateral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",doble anexectomia
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",doble anexectomia
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",ooforectomia bilateral
0UT20ZZ,P,"reseccion de ovarios, bilateral, abordaje abierto",da
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral via laparoscopica
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral por laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",doble anexectomia lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",da lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopica
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral por laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",doble anexectomia laparocopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",doble anexectomia laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral por laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",da laparoscopica
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",doble anexectomia laparoscopica
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopica
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral por laparoscopia
0UT24ZZ,P,"reseccion de ovarios, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral via laparoscopica
0UT40ZZ,P,"reseccion de utero, estructura de soporte, abordaje abierto",histerectomia abdominal radical
0UT40ZZ,P,"reseccion de utero, estructura de soporte, abordaje abierto",histerectomia radical
0UT40ZZ,P,"reseccion de utero, estructura de soporte, abordaje abierto",histerectomia radical
0UT50ZZ,P,"reseccion de trompa de falopio, derecha, abordaje abierto",anexectomia derecha
0UT50ZZ,P,"reseccion de trompa de falopio, derecha, abordaje abierto",salpinguectomia derecha
0UT50ZZ,P,"reseccion de trompa de falopio, derecha, abordaje abierto",anexectomia derecha
0UT50ZZ,P,"reseccion de trompa de falopio, derecha, abordaje abierto",salpinguectomia derecha
0UT50ZZ,P,"reseccion de trompa de falopio, derecha, abordaje abierto",salpinguectomia derecha
0UT54ZZ,P,"reseccion de trompa de falopio, derecha, abordaje endoscopico percutaneo",anexectomia derecha laparoscopica
0UT54ZZ,P,"reseccion de trompa de falopio, derecha, abordaje endoscopico percutaneo",anexectomia derecha laparoscopica
0UT54ZZ,P,"reseccion de trompa de falopio, derecha, abordaje endoscopico percutaneo",salpinguectomia derecha laparoscopica
0UT54ZZ,P,"reseccion de trompa de falopio, derecha, abordaje endoscopico percutaneo",anexectomia derecha laparoscopica
0UT54ZZ,P,"reseccion de trompa de falopio, derecha, abordaje endoscopico percutaneo",anexectomia derecha laparoscopia
0UT60ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje abierto",salpinguectomia izquierda
0UT60ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje abierto",anexectomia izquierda
0UT60ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje abierto",salpinguectomia izquierda
0UT60ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje abierto",anexectomia izquierda
0UT60ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje abierto",anexectomia izquierda
0UT60ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje abierto",anexectomia izquierda
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",salpingectomia geu izq lap
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",salpinguectomia geu izq lap
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",salpinguectomia geu izq lap
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",salpinguectomia izquierda lap
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",anexectomia izquierda por laparoscopia
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",anexectomia izquierda lap
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",anexectomia izquierda por laparoscopia
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",anexectomia izquierda laparoscopica
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",salpinguectomia geu izq lap
0UT64ZZ,P,"reseccion de trompa de falopio, izquierda, abordaje endoscopico percutaneo",salpinguectomia geu izq lap
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpingectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble anexectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble salpinguectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",da
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble anexectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",da
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpinguectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble salpinguectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",bsgc derecho
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",histerectomia abdominal radical
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",anexectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",anexectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",anexectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble anexectoma
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",histerectomia abdomial radical
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble anexectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",anexectomia bilteral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpinguectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble salpingectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpinguectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble salpingectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpinguectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpingectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",anexectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpinguectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpingectomia bilateral
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",doble anexectomia
0UT70ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje abierto",salpingectomia bilateral
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble anexectomia laparocopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpinguectomia bilateral lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble anexectomia lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble anexectomia laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpinguectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble anexectomia laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpingectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble anexectomia lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpinguectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble salpinguectomia laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpingectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral via laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral via laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpinguectomia bilateral laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpinguectomia bilateral laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",salpinguectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",doble anexectomia lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral laparoscopica
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral por laparoscopia
0UT74ZZ,P,"reseccion de trompas de falopio, bilateral, abordaje endoscopico percutaneo",anexectomia bilateral lap
0UT90ZL,P,"reseccion de utero, supracervical, abordaje abierto",histerectomia subtotal
0UT90ZL,P,"reseccion de utero, supracervical, abordaje abierto",histerectomia subtotal
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia radical
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total abd
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia radical
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total simple
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia abdominal
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total
0UT90ZZ,P,"reseccion de utero, abordaje abierto",ht
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia abdominal radical
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia abdomial radical
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total:
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total
0UT90ZZ,P,"reseccion de utero, abordaje abierto",histerectomia total abd
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia lap
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia laparoscopica
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia total lap
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia laparoscopica
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia total lap
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia lap
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia total lap
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia total laparoscopica
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia abdominal total lap
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia laparoscopia
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia laparoscopia
0UT94ZZ,P,"reseccion de utero, abordaje endoscopico percutaneo",histerectomia total laparoscopica
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia via vaginal
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia vaginal
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia vaginal
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia total simple via vaginal
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia vaginal
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia total vaginal
0UT97ZZ,P,"reseccion de utero, abordaje orificio natural o artificial",histerectomia total vaginal
