Code,D_P,Description,Literal
3E013VG,P,"Introducción en tejido subcutáneo de hormona, insulina, abordaje percutáneo",INSULINA
3E013VG,P,"Introducción en tejido subcutáneo de hormona, insulina, abordaje percutáneo",insulinoterapia
3E0233Z,P,"Introducción en músculo de anti-inflamatorio, abordaje percutáneo",Maduracion pulmonar
3E0233Z,P,"Introducción en músculo de anti-inflamatorio, abordaje percutáneo",maduracion pulmonar
3E0233Z,P,"Introducción en músculo de anti-inflamatorio, abordaje percutáneo",maduración pulmonar
3E0233Z,P,"Introducción en músculo de anti-inflamatorio, abordaje percutáneo",celestone
3E0233Z,P,"Introducción en músculo de anti-inflamatorio, abordaje percutáneo",Maduración pulmonar
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",ANTI-D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",Anti -D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",anti-D .
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",anti-D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",vacuna triple vírica
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",Anti D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",Anti-D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",anti-.D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",anti- D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",gammaglobulina anti-d
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",Anti- D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",Anti-d
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",Anti d
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",gammaglobulina anti D
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",anti d
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",anti-d
3E0234Z,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo",ANTI D
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Methergin IM
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",methergin im
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",adrenalina intramuscular
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",tto im
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Methergin im
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Maduracion pulmonar
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",methergin Im
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",maduración pulmonar
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Methergín im
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",methergin IM.
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",methergin IM
3E023GC,P,"Introducción en músculo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Maduración pulmonar
3E03305,P,"Introducción en vena periférica de antineoplásico, otro antineoplásico, abordaje percutáneo",qt
3E03305,P,"Introducción en vena periférica de antineoplásico, otro antineoplásico, abordaje percutáneo",quimioterapia
3E0330M,P,"Introducción en vena periférica de antineoplásico, anticuerpo monoclonal, abordaje percutáneo",Infliximab
3E0330M,P,"Introducción en vena periférica de antineoplásico, anticuerpo monoclonal, abordaje percutáneo",Rituximab
3E03328,P,"Introducción en vena periférica de anti-infeccioso, oxazolidinonas, abordaje percutáneo",linezolid
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Ampicilina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiòtico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Ertapemen
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antiobiótico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",ANTIBIÓTICO
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibioteraia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",aumentine
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibióticos
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",azitromicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioterapico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioticoterpia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibioticoterpia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibióticoterpaia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",ne sng
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",cefazolina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",CEfazolina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Ampicil·lina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",eritromicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",ertapenem
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibiotico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",ANTIBIOTERAPIA IV
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiòticos
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Piperacilina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibióticoterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibioteràpia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioticos
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibioticoteràpia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",amoxicilina-clavulánico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Ertapenem
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiótic
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioterápico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Rifampicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",cefotaxima
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Meropenem
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Vancomicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiotic
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Cefoxitina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",piperacilina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",ANTIBIOTERAPIA
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antbiótico
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibioticoterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antbioterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioterapia intravenosa
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",fosfomicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",amoxicilna
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",meropenem
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiòtic
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",atb
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",ANTIBIOTERAPIA INTRAVENOSA
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Ciprofloxacino
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",gentamicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioterapia iv
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antiviricos
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",amoxicilina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibioterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Cefazolina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioticoteràpia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioticoterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Penicilina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Azitromicina
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibioterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Antibióticos
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiòtica
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibióticoterapia
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",antibiòtics
3E03329,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo",Amikacina
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",Dexametasona
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",corticoterapia
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",Corticoides
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",cortisona
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",antiinflamatorio
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",dexketoprofeno
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",estilsona
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",prednisolona
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",dexketoprofeno ev
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",Corticoterapia
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",corticoteràpia
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",corticoides
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",metilprednisolona
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",CORTICOIDES
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",corticosteroides
3E0333Z,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo",hidrocortisona
3E0336Z,P,"Introducción en vena periférica de sustancia nutricional, abordaje percutáneo",Nutricion parenteral
3E0336Z,P,"Introducción en vena periférica de sustancia nutricional, abordaje percutáneo",nutrición parenteral
3E0336Z,P,"Introducción en vena periférica de sustancia nutricional, abordaje percutáneo",Nutrición parenteral
3E0336Z,P,"Introducción en vena periférica de sustancia nutricional, abordaje percutáneo",NUTRICION PARENTERAL
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",ondansetrón
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",ondansetron
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",diuretico
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",sueroterapia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",suero fisiológico
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",diurético endovenoso
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",suero
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",serum
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",sueroterápia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",Sueroterpia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",Serumteràpia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",sueroteràpia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",suero glucosado
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",Serumterapia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",Sueroterapia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",hidroelectrolítica
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",SUEROTERAPIA
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",diurético
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",stp
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",hidratación intravenosa
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",SSF
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",diuréticos
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",Seroterapia
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",stp`
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",SF
3E0337Z,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo",sueros
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",furosemida
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",heparina
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Amchafibrin
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",hierro iv
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",antihistamínico
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Metoclopramida
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Primperan
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",tto
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",inmunosupresores
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",hierro intravenoso
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",ferro
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Omeprazol
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",ferroterapia
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",anticoagulante
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",enoxaparina
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",tratamiento deplectivo
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",ferroterápia
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",metoclopramida
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",hierro
3E033GC,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",inmunosupresor
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",sedante
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",ANALGÉSICO
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",anagesia
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",analgèsia
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",Paracetamol
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",levetiracetam
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",Analgesia
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",analgesico
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",midazolam
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",morfina
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",analgesia
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",Clonazepam
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",sedantes
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",Midazolam
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",Analgesia endovenosa
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",Analgesicos
3E033NZ,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo",analgesia endovenosa
3E033RZ,P,"Introducción en vena periférica de antiarrítmico, abordaje percutáneo",digoxina
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",inducción médica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",oxitocínica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",oxitocica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Oxitocina
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Estimulación
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",induccion médica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",OXITOCINA
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Inducción médica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Induccion médica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Indución
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Induccion
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",INDUCCION
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Estimulación oxitócica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",oxitócica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",oxcitocíca
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Induccion medica
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Inducción
3E033VJ,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo",Oxitocica
3E033WL,P,"Introducción en vena periférica de inmunoterapia, inmunosupresor, abordaje percutáneo",ciclosporina
3E0436Z,P,"Introducción en vena central de sustancia nutricional, abordaje percutáneo",NPT
3E0436Z,P,"Introducción en vena central de sustancia nutricional, abordaje percutáneo",Alimentación parenteral
3E063XZ,P,"Introducción en arteria central de vasopresor, abordaje percutáneo",dobutamina
3E0C3GC,P,"Introducción en ojo de otra sustancia terapéutica, otra sustancia, abordaje percutáneo",Injecció intravítrea
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulitzat
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulizado
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulización
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",broncodilatador
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulizados
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulizaciones
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",Nebulizaciones
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulització
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulizador
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",broncodilatadores
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nebulitzacions
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",nbz
3E0F7GC,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial",salbutamol
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",gafas nasales
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",Oxígenoterapia
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",oxigen
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",o2
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",oxígeno
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",Oxigenoterapia
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",OXIGENOTERAPIA
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",oxigenoterpia
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",OXIGENO
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",oxigeno
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",oxigenoterapia
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",oxigenoteràpia
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",O2
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",Cànules nasals
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",canulas nasales
3E0F7SF,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial",cánulas nasales
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",nutrición enteral
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",nutricion enteral por sng
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",ne SNG
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",Nutrición enteral
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",ne
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",SNG rn
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",sondaje gástrico
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",nutricion enteral sng
3E0G76Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial",sondaje gástrico rn
3E0G7KZ,P,"Introducción en gastrointestinal superior de otra sustancia diagnóstica, abordaje orificio natural o artificial",gastrografín
3E0G7KZ,P,"Introducción en gastrointestinal superior de otra sustancia diagnóstica, abordaje orificio natural o artificial",Gastrografin
3E0G86Z,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial, endoscópico",nutrición enteral por sonda nasogástrica
3E0H73Z,P,"Introducción en gastrointestinal inferior de anti-inflamatorio, abordaje orificio natural o artificial",Indometacina rectal
